Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","233","Burkina Faso","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","365054","Fc","Calculated data"
"TI","Trade Indices","233","Burkina Faso","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","164627","Fc","Calculated data"
"TI","Trade Indices","233","Burkina Faso","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","152","Fc","Calculated data"
"TI","Trade Indices","29","Burundi","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","59865","Fc","Calculated data"
"TI","Trade Indices","29","Burundi","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","54557","Fc","Calculated data"
"TI","Trade Indices","29","Burundi","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","101","Fc","Calculated data"
"TI","Trade Indices","29","Burundi","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","54601","Fc","Calculated data"
"TI","Trade Indices","29","Burundi","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","2330","Fc","Calculated data"
"TI","Trade Indices","29","Burundi","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","183","Fc","Calculated data"
"TI","Trade Indices","32","Cameroon","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","816703","Fc","Calculated data"
"TI","Trade Indices","32","Cameroon","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","573862","Fc","Calculated data"
"TI","Trade Indices","32","Cameroon","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","180","Fc","Calculated data"
"TI","Trade Indices","32","Cameroon","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","758723","Fc","Calculated data"
"TI","Trade Indices","32","Cameroon","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","344907","Fc","Calculated data"
"TI","Trade Indices","32","Cameroon","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","205","Fc","Calculated data"
"TI","Trade Indices","33","Canada","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","16588377","Fc","Calculated data"
"TI","Trade Indices","33","Canada","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","26379297","Fc","Calculated data"
"TI","Trade Indices","33","Canada","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","150","Fc","Calculated data"
"TI","Trade Indices","33","Canada","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","12115053","Fc","Calculated data"
